prop_key,prop_value
Sirsa,sirsa_haryana
Sonipat,sonipat_haryana
Yamunanagar,yamunanagar_haryana
Bokaro,bokaro_jharkhand
Chatra,chatra_jharkhand
Deoghar,deoghar_jharkhand
Dhanbad,dhanbad_jharkhand
Dumka,dumka_jharkhand
East Singhbhum,east_singhbhum_jharkhand
Garhwa,garhwa_jharkhand
Giridih,giridih_jharkhand
Godda,godda_jharkhand
Hazaribag,hazaribag_jharkhand
Jamshedpur,jamshedpur_jharkhand
Jasidih,jasidih_jharkhand
Kodarma,kodarma_jharkhand
Latehar,latehar_jharkhand
Lohardaga,lohardaga_jharkhand
Pakaur,pakaur_jharkhand
Palamu,palamu_jharkhand
Ranchi,ranchi_jharkhand
Sahibganj,sahibganj_jharkhand
West Singhbhum,west_singhbhum_jharkhand
Ananatnag,ananatnag_jammu_kashmir
Badgam,badgam_jammu_kashmir
Baramula,baramula_jammu_kashmir
Doda,doda_jammu_kashmir
Jammu,jammu_jammu_kashmir
Kargil,kargil_jammu_kashmir
Kathua,kathua_jammu_kashmir
Kupwara,kupwara_jammu_kashmir
Leh,leh_jammu_kashmir
Pulwama,pulwama_jammu_kashmir
Rajauri,rajauri_jammu_kashmir
Srinagar,srinagar_jammu_kashmir
Udhampur,udhampur_jammu_kashmir
Bagalkot,bagalkot_karnataka
Bangalore,bangalore_karnataka
Belgaum,belgaum_karnataka
Bellary,bellary_karnataka
Bidar,bidar_karnataka
Bijapur,bijapur_karnataka
Chamarajanagar,chamarajanagar_karnataka
Chik Ballapur,chik_ballapur_karnataka
Chikmagalur,chikmagalur_karnataka
Chitradurga,chitradurga_karnataka
Davanagere,davanagere_karnataka
Gulbarga,gulbarga_karnataka
Hassan,hassan_karnataka
Haveri,haveri_karnataka
Hubballi-Dharwad,hubballi_dharwad_karnataka
Karwar,karwar_karnataka
Kodagu,kodagu_karnataka
Kolar,kolar_karnataka
Koppal,koppal_karnataka
Madikeri,madikeri_karnataka
Mandya,mandya_karnataka
Mangalore,mangalore_karnataka
Mysore,mysore_karnataka
North Kannada,north_kannada_karnataka
Raichur,raichur_karnataka
Ramanagara,ramanagara_karnataka
Shimoga,shimoga_karnataka
South Kannada,south_kannada_karnataka
Tumkur,tumkur_karnataka
Udupi,udupi_karnataka
Alappuzha,alappuzha_kerala
Ernakulam,ernakulam_kerala
Idukki,idukki_kerala
Kannur,kannur_kerala
Kasaragod,kasaragod_kerala
Kochi,kochi_kerala
Kollam,kollam_kerala
Kottayam,kottayam_kerala
Kozhikode,kozhikode_kerala
Malappuram,malappuram_kerala
Palakkad,palakkad_kerala
Pathanamthitta,pathanamthitta_kerala
Thrissur,thrissur_kerala
Trivandrum,trivandrum_kerala
Wayanad,wayanad_kerala
Ahmednagar,ahmednagar_maharashtra
Akola,akola_maharashtra
Alibag,alibag_maharashtra
Amravati,amravati_maharashtra
Aurangabad,aurangabad_maharashtra
Beed,beed_maharashtra
Bhandara,bhandara_maharashtra
Buldana,buldana_maharashtra
Chandrapur,chandrapur_maharashtra
Dhule,dhule_maharashtra
Gadchiroli,gadchiroli_maharashtra
Gondia,gondia_maharashtra
Hingoli,hingoli_maharashtra
Jalgaon,jalgaon_maharashtra
Jalna,jalna_maharashtra
Khandala,khandala_maharashtra
Kolhapur,kolhapur_maharashtra
Kudal,kudal_maharashtra
Latur,latur_maharashtra
Lonavala,lonavala_maharashtra
Mumbai,mumbai_maharashtra
Nagpur,nagpur_maharashtra
Nanded,nanded_maharashtra
Nandurbar,nandurbar_maharashtra
Nashik,nashik_maharashtra
Navi Mumbai,navi_mumbai_maharashtra
Osmanabad,osmanabad_maharashtra
Parbhani,parbhani_maharashtra
Pune,pune_maharashtra
Raigad,raigad_maharashtra
Ratnagiri,ratnagiri_maharashtra
Sangli,sangli_maharashtra
Satara,satara_maharashtra
Shirdi,shirdi_maharashtra
Sindhudurg,sindhudurg_maharashtra
Solapur,solapur_maharashtra
Thane,thane_maharashtra
Wardha,wardha_maharashtra
Washim,washim_maharashtra
Yavatmal,yavatmal_maharashtra
Bishnupur,bishnupur_manipur
Imphal,imphal_manipur
Thoubal,thoubal_manipur
Balaghat,balaghat_madhya_pradesh
Barwani,barwani_madhya_pradesh
Betul,betul_madhya_pradesh
Bhind,bhind_madhya_pradesh
Bhopal,bhopal_madhya_pradesh
Chhatarpur,chhatarpur_madhya_pradesh
Chhindwara,chhindwara_madhya_pradesh
Damoh,damoh_madhya_pradesh
Datia,datia_madhya_pradesh
Dewas,dewas_madhya_pradesh
Dhar,dhar_madhya_pradesh
Dindori,dindori_madhya_pradesh
Guna,guna_madhya_pradesh
